"","sub","mu_1_htgt/hdst_.2","mu_1_htgt/ldst_.2","mu_1_ltgt/ldst_.2","mu_1_ltgt/hdst_.2","mu_1_htgt/hdst_.5","mu_1_htgt/ldst_.5","mu_1_ltgt/ldst_.5","mu_1_ltgt/hdst_.5","mu_1_htgt/hdst_.8","mu_1_htgt/ldst_.8","mu_1_ltgt/ldst_.8","mu_1_ltgt/hdst_.8","mu_2_htgt/hdst_.2","mu_2_htgt/ldst_.2","mu_2_ltgt/ldst_.2","mu_2_ltgt/hdst_.2","mu_2_htgt/hdst_.5","mu_2_htgt/ldst_.5","mu_2_ltgt/ldst_.5","mu_2_ltgt/hdst_.5","mu_2_htgt/hdst_.8","mu_2_htgt/ldst_.8","mu_2_ltgt/ldst_.8","mu_2_ltgt/hdst_.8","vari_1_htgt/hdst_.2","vari_1_htgt/ldst_.2","vari_1_ltgt/ldst_.2","vari_1_ltgt/hdst_.2","vari_1_htgt/hdst_.5","vari_1_htgt/ldst_.5","vari_1_ltgt/ldst_.5","vari_1_ltgt/hdst_.5","vari_1_htgt/hdst_.8","vari_1_htgt/ldst_.8","vari_1_ltgt/ldst_.8","vari_1_ltgt/hdst_.8","vari_2_htgt/hdst_.2","vari_2_htgt/ldst_.2","vari_2_ltgt/ldst_.2","vari_2_ltgt/hdst_.2","vari_2_htgt/hdst_.5","vari_2_htgt/ldst_.5","vari_2_ltgt/ldst_.5","vari_2_ltgt/hdst_.5","vari_2_htgt/hdst_.8","vari_2_htgt/ldst_.8","vari_2_ltgt/ldst_.8","vari_2_ltgt/hdst_.8"
"1",1,0.446,0.496,0.5215,0.667,0.5055,0.4725,0.502,0.648,0.4465,0.423,0.465,0.47,0.621,0.563,0.704,0.7525,0.533,0.495,0.528,0.61,0.467,0.431,0.451,0.476,0.0230132857142857,0.00661195555555555,0.0305128571428571,0.0191355666666667,0.00938916923076923,0.00522863525641026,0.00606628571428572,0.0110006893939394,0.00357381294452347,0.00670643049932524,0.00431205546218487,0.0166057085020243,0.0189217333333333,0.0113691666666667,0.0227086222222222,0.00592466666666667,0.00996466366366366,0.00849429089615932,0.00575241680672269,0.0164720620782726,0.00428214979757085,0.00497368253968254,0.00387487411095306,0.0196174534534535
"2",2,0.558,0.563,0.65,0.62,0.558,0.615,0.5645,0.6055,0.521,0.529,0.563,0.544,0.5265,0.468,0.582,0.6075,0.555,0.547,0.531,0.534,0.507,0.5035,0.5285,0.527,0.00891314285714286,0.00556298214285714,0.0299016944444444,0.0147541944444444,0.00624431092436975,0.0107863896825397,0.0125537420634921,0.0105247134920635,0.00719489075630252,0.0078883657219973,0.00686562483130904,0.00792362078272604,0.00949507142857143,0.004899,0.0121045714285714,0.0116752678571429,0.00520663361344538,0.010526681511471,0.00443314564564564,0.00854133143669986,0.00343600757575758,0.00602332301587302,0.0102351237553343,0.0105370855855856
"3",3,0.698,0.6,0.588,0.57,0.578,0.554,0.548,0.575,0.5235,0.634,0.5205,0.5705,0.5425,0.504,0.4585,0.714,0.504,0.5255,0.4835,0.591,0.5025,0.5435,0.495,0.54,0.0191384444444444,0.0174269444444444,0.0216647857142857,0.0414826944444444,0.0164347344537815,0.0129428428030303,0.0109408849206349,0.0109533182795699,0.0118794988505747,0.0120649962121212,0.00793413547237077,0.0101125918003565,0.0503893666666667,0.0436799444444444,0.0262942333333333,0.0893574285714286,0.0127780418353576,0.00871919786096257,0.00931602852049911,0.0164185911330049,0.0192300658730159,0.0121841712643678,0.0155528468253968,0.0108269873015873
"4",4,0.5925,0.558,0.485,0.4995,0.511,0.5245,0.489,0.568,0.463,0.463,0.4975,0.5075,0.41,0.47,0.448,0.4425,0.414,0.4235,0.429,0.493,0.407,0.468,0.406,0.437,0.0230973666666667,0.0126410714285714,0.00419447619047619,0.00528346666666667,0.00878673978494624,0.0118587701612903,0.0117179375,0.0170767554112554,0.0066153428030303,0.00763634,0.00844789415322581,0.00518125396825397,0.0150635,0.0020023,0.00117147619047619,0.00662296666666667,0.0110292178030303,0.0110207379032258,0.0051484705882353,0.0153720276679842,0.01086225,0.0108956795698925,0.00876964682539683,0.0122171185770751
"5",5,0.4875,0.4665,0.495,0.534,0.4705,0.516,0.442,0.518,0.431,0.536,0.434,0.521,0.334,0.348,0.3615,0.417,0.364,0.4645,0.3775,0.415,0.356,0.4295,0.3425,0.424,0.00932795555555556,0.0110586666666667,0.00786611111111111,0.00797136666666667,0.015932903968254,0.010489604743083,0.00556735585585586,0.00423487464387464,0.0115617206349206,0.0144069881422925,0.004353669365722,0.011813396011396,0.0159852380952381,0.00286033333333333,0.00447564285714286,0.0102303,0.00510123076923077,0.0105577415384615,0.0114804206773619,0.00735169384057971,0.0117433275862069,0.0161245333333333,0.00833540211640212,0.0159155438596491
"6",6,0.547,0.475,0.5495,0.626,0.496,0.498,0.554,0.5385,0.4805,0.455,0.5255,0.5175,0.538,0.479,0.5555,0.58,0.522,0.5045,0.536,0.597,0.529,0.481,0.514,0.552,0.00206461111111111,0.00451202777777777,0.00487971428571429,0.00981490476190476,0.00577578678678679,0.0190521136363636,0.0145026936936937,0.0228907682539683,0.00582517538461538,0.0124520927419355,0.0179473296370968,0.0191309385026738,0.00939455357142857,0.00591364285714286,0.00472798214285714,0.0096615,0.00526079734848485,0.0145326634920635,0.0142816,0.0232993247311828,0.00889337478991597,0.0102066285714286,0.00677264367816092,0.0107701731092437
"7",7,0.4875,0.609,0.4565,0.732,0.474,0.512,0.5005,0.563,0.471,0.514,0.486,0.56,0.4695,0.526,0.461,0.681,0.4565,0.479,0.4355,0.7485,0.414,0.478,0.4405,0.518,0.00757992857142857,0.0488373333333333,0.00340555357142857,0.0385395833333333,0.0103539159663866,0.007154291005291,0.0142909828629032,0.0459778066666667,0.0098418428030303,0.011346853968254,0.0101145416666667,0.0414088066666667,0.0158359821428571,0.02271125,0.00348966666666667,0.00847033333333333,0.0171993830645161,0.0126188365591398,0.0174070338680927,0.0439357342105263,0.00847229915966386,0.0109151025641026,0.0120613296370968,0.0273684472934473
"8",8,0.504,0.442,0.511,0.657,0.556,0.485,0.512,0.657,0.595,0.487,0.5425,0.628,0.5515,0.47,0.555,0.6325,0.561,0.48,0.521,0.633,0.5435,0.498,0.553,0.616,0.008997,0.00190961111111111,0.00592644444444445,0.0184322380952381,0.0101415402298851,0.0121832521008403,0.0179194474153298,0.0323817635327635,0.02595674,0.0124171893939394,0.0121643315508021,0.0244424580645161,0.0128317666666667,0.000574566666666666,0.0391577,0.0473458392857143,0.0156527692307692,0.0188489791666667,0.0163101674876847,0.0287679173789174,0.0130576653439153,0.0162176096866097,0.0190841666666667,0.031231849002849
"9",9,0.57,0.617,0.553,0.5995,0.48,0.542,0.508,0.556,0.453,0.5075,0.466,0.495,0.302,0.485,0.2615,0.351,0.334,0.36,0.311,0.394,0.2925,0.404,0.302,0.384,0.00997398214285714,0.00611475,0.0145472777777778,0.00332707142857143,0.00859080780780781,0.0121736795698925,0.0105162806722689,0.0202561553030303,0.00700552552552553,0.00983916927453769,0.0124490985155196,0.00707519682539682,0.0608235,0.0412143333333333,0.0105716964285714,0.00595733333333334,0.0126141212121212,0.0215846666666667,0.018576527027027,0.0129871520467836,0.0126330753968254,0.0140298947368421,0.0206312973484848,0.0127774619047619
"10",10,0.525,0.465,0.496,0.547,0.5065,0.402,0.4145,0.485,0.38,0.385,0.3605,0.368,0.5585,0.5065,0.509,0.495,0.424,0.376,0.427,0.5245,0.371,0.365,0.3715,0.384,0.00146696666666667,0.00100233333333333,0.0150755,0.00488580952380952,0.0256494838709677,0.00520378494623656,0.00665843226381462,0.0151994,0.00307974920634921,0.00484673423423424,0.00269751604278075,0.00599498128342246,0.00454907142857143,0.00450769642857143,0.0052385,0.00644966666666667,0.0091369009009009,0.00384040682788051,0.0092996021021021,0.0147089183006536,0.00214203778677463,0.00310311470985155,0.00287148221906117,0.00636061587301587
