"","sub","acc_odd_.2_htgt/hdst","acc_odd_.2_htgt/ldst","acc_odd_.2_ltgt/ldst","acc_odd_.2_ltgt/hdst","acc_odd_.5_htgt/hdst","acc_odd_.5_htgt/ldst","acc_odd_.5_ltgt/ldst","acc_odd_.5_ltgt/hdst","acc_odd_.8_htgt/hdst","acc_odd_.8_htgt/ldst","acc_odd_.8_ltgt/ldst","acc_odd_.8_ltgt/hdst","acc_even_.2_htgt/hdst","acc_even_.2_htgt/ldst","acc_even_.2_ltgt/ldst","acc_even_.2_ltgt/hdst","acc_even_.5_htgt/hdst","acc_even_.5_htgt/ldst","acc_even_.5_ltgt/ldst","acc_even_.5_ltgt/hdst","acc_even_.8_htgt/hdst","acc_even_.8_htgt/ldst","acc_even_.8_ltgt/ldst","acc_even_.8_ltgt/hdst","mu_odd_.2_htgt/hdst","mu_odd_.2_htgt/ldst","mu_odd_.2_ltgt/ldst","mu_odd_.2_ltgt/hdst","mu_odd_.5_htgt/hdst","mu_odd_.5_htgt/ldst","mu_odd_.5_ltgt/ldst","mu_odd_.5_ltgt/hdst","mu_odd_.8_htgt/hdst","mu_odd_.8_htgt/ldst","mu_odd_.8_ltgt/ldst","mu_odd_.8_ltgt/hdst","mu_even_.2_htgt/hdst","mu_even_.2_htgt/ldst","mu_even_.2_ltgt/ldst","mu_even_.2_ltgt/hdst","mu_even_.5_htgt/hdst","mu_even_.5_htgt/ldst","mu_even_.5_ltgt/ldst","mu_even_.5_ltgt/hdst","mu_even_.8_htgt/hdst","mu_even_.8_htgt/ldst","mu_even_.8_ltgt/ldst","mu_even_.8_ltgt/hdst"
"1",1,0.8,1,0.777777777777778,1,1,1,0.953488372093023,0.923076923076923,0.976190476190476,0.95,0.972972972972973,1,1,1,1,1,0.976190476190476,1,0.864864864864865,0.902439024390244,1,0.95,0.953488372093023,0.976190476190476,0.544714285714286,0.540785714285714,0.613714285714286,0.776428571428571,0.536054054054054,0.483023255813954,0.5244,0.613388888888889,0.46525641025641,0.450263157894737,0.462085714285714,0.526628571428571,0.5795,0.518666666666667,0.640363636363636,0.684,0.537125,0.5076,0.525709677419355,0.660277777777778,0.455921052631579,0.425756756756757,0.458473684210526,0.493170731707317
"2",2,0.875,0.9,0.777777777777778,0.916666666666667,0.921052631578947,0.973684210526316,0.933333333333333,0.971428571428571,0.902439024390244,0.952380952380952,0.978723404255319,1,0.75,0.8,0.818181818181818,0.875,0.880952380952381,0.952380952380952,0.942857142857143,0.911111111111111,0.871794871794872,1,0.96969696969697,0.955555555555556,0.527857142857143,0.545444444444444,0.610571428571429,0.662272727272727,0.561058823529412,0.597540540540541,0.5719,0.613264705882353,0.513323529411765,0.553230769230769,0.5576,0.553285714285714,0.574111111111111,0.524375,0.676,0.558666666666667,0.559305555555556,0.579736842105263,0.561242424242424,0.5714,0.539852941176471,0.513333333333333,0.55240625,0.567219512195122
"3",3,0.785714285714286,0.916666666666667,0.9,0.909090909090909,0.948717948717949,0.871794871794872,0.928571428571429,0.8,0.833333333333333,0.828571428571429,0.941176470588235,0.875,0.833333333333333,0.875,1,0.777777777777778,0.926829268292683,0.829268292682927,0.894736842105263,0.75,0.863636363636364,0.777777777777778,0.869565217391304,0.9375,0.686090909090909,0.598363636363636,0.6255,0.7367,0.553666666666667,0.569647058823529,0.543243243243243,0.58540625,0.550464285714286,0.586586206896552,0.525966666666667,0.5681,0.54725,0.569714285714286,0.5111,0.655428571428571,0.563684210526316,0.596939393939394,0.520212121212121,0.610071428571429,0.527736842105263,0.572823529411765,0.5178,0.581733333333333
"4",4,0.909090909090909,0.777777777777778,0.818181818181818,0.7,0.930232558139535,0.791666666666667,0.82051282051282,0.727272727272727,0.882352941176471,0.75,0.891891891891892,0.731707317073171,0.666666666666667,0.545454545454545,0.666666666666667,0.5,0.72972972972973,0.875,0.902439024390244,0.51063829787234,0.91304347826087,0.694444444444444,0.86046511627907,0.564102564102564,0.5013,0.472428571428571,0.465625,0.447571428571429,0.487131578947368,0.488916666666667,0.4940625,0.558136363636364,0.460535714285714,0.465258064516129,0.463090909090909,0.489166666666667,0.4148,0.533833333333333,0.498833333333333,0.516,0.453615384615385,0.48425,0.468857142857143,0.496695652173913,0.458634146341463,0.51444,0.458114285714286,0.481285714285714
"5",5,0.9,0.444444444444444,1,0.454545454545455,0.794871794871795,0.69047619047619,0.911111111111111,0.545454545454545,0.880952380952381,0.5,0.888888888888889,0.605263157894737,0.8,0.545454545454545,0.928571428571429,0.666666666666667,0.878048780487805,0.578947368421053,0.857142857142857,0.75,0.842105263157895,0.476190476190476,0.840909090909091,0.547619047619048,0.436444444444444,0.446666666666667,0.3988,0.5158,0.402896551724138,0.496703703703704,0.399829268292683,0.469916666666667,0.390794117647059,0.521894736842105,0.394903225806452,0.474608695652174,0.435625,0.450166666666667,0.444416666666667,0.411,0.455970588235294,0.456318181818182,0.404366666666667,0.470407407407407,0.385451612903226,0.44405,0.382111111111111,0.481913043478261
"6",6,1,0.9,0.833333333333333,1,0.882352941176471,0.904761904761905,0.904761904761905,0.837209302325581,0.837209302325581,0.844444444444444,0.871794871794872,0.857142857142857,0.857142857142857,0.9,0.785714285714286,0.75,0.891304347826087,0.868421052631579,0.947368421052632,0.864864864864865,0.810810810810811,0.914285714285714,0.731707317073171,0.921052631578947,0.5204,0.463,0.5466,0.62,0.513137931034483,0.520305555555556,0.562540540540541,0.593777777777778,0.491971428571429,0.496405405405405,0.5353125,0.543,0.558833333333333,0.513375,0.554909090909091,0.576666666666667,0.517756097560976,0.537242424242424,0.545972222222222,0.605322580645161,0.526961538461538,0.502290322580645,0.550966666666667,0.572470588235294
"7",7,0.785714285714286,0.714285714285714,0.714285714285714,0.333333333333333,0.886363636363636,0.815789473684211,0.885714285714286,0.55,0.852941176470588,0.818181818181818,0.78,0.736842105263158,0.833333333333333,0.923076923076923,0.846153846153846,0.363636363636364,0.833333333333333,0.761904761904762,0.844444444444444,0.6,0.934782608695652,0.833333333333333,0.933333333333333,0.619047619047619,0.488727272727273,0.8108,0.4366,0.572666666666667,0.465078947368421,0.552,0.487137931034483,0.623285714285714,0.462884615384615,0.517823529411765,0.467918918918919,0.618444444444444,0.497,0.57,0.4685,0.7555,0.538448275862069,0.5012,0.51972972972973,0.704125,0.457071428571429,0.543931034482759,0.516392857142857,0.61208
"8",8,0.8,0.933333333333333,0.777777777777778,0.714285714285714,0.783783783783784,0.878048780487805,0.86046511627907,0.7,0.692307692307692,0.897435897435897,0.794871794871795,0.731707317073171,0.9,0.8,0.727272727272727,0.846153846153846,0.744186046511628,0.897435897435897,0.864864864864865,0.725,0.731707317073171,0.682926829268293,0.853658536585366,0.743589743589744,0.516625,0.4575,0.541428571428571,0.54125,0.575407407407407,0.479757575757576,0.530588235294118,0.642857142857143,0.60252,0.4996875,0.603074074074074,0.649533333333333,0.572,0.4505,0.564285714285714,0.673545454545455,0.5529,0.500485714285714,0.543275862068965,0.645076923076923,0.575035714285714,0.511392857142857,0.54240625,0.657857142857143
"9",9,0.9,0.625,0.818181818181818,0.428571428571429,0.875,0.627906976744186,0.941176470588235,0.725,0.925,0.69047619047619,0.928571428571429,0.694444444444444,0.9,0.583333333333333,0.888888888888889,0.833333333333333,0.9,0.540540540540541,0.891304347826087,0.625,0.95,0.763157894736842,0.921052631578947,0.772727272727273,0.494222222222222,0.6206,0.417222222222222,0.589833333333333,0.459882352941176,0.496153846153846,0.463709677419355,0.519172413793103,0.364057142857143,0.462137931034483,0.395078947368421,0.481041666666667,0.37475,0.522857142857143,0.3955,0.4896,0.389166666666667,0.5326,0.392048780487805,0.530652173913043,0.396631578947368,0.5045,0.418264705882353,0.453515151515152
"10",10,0.909090909090909,0.75,0.538461538461538,0.692307692307692,0.904761904761905,0.952380952380952,0.942857142857143,0.4375,0.923076923076923,0.945945945945946,0.978260869565217,0.928571428571429,0.444444444444444,0.5,0.428571428571429,0.714285714285714,0.868421052631579,0.868421052631579,0.911111111111111,0.416666666666667,0.975609756097561,0.976744186046512,0.852941176470588,0.868421052631579,0.5381,0.5252,0.521142857142857,0.495888888888889,0.487138888888889,0.397,0.43115625,0.540285714285714,0.376805555555556,0.381911764705882,0.366422222222222,0.411157894736842,0.541,0.477333333333333,0.437333333333333,0.5618,0.456393939393939,0.400566666666667,0.417820512820513,0.480684210526316,0.380051282051282,0.393261904761905,0.360666666666667,0.37403125
