trial_num,block_num,reward_type,reward_trial,probability,position,ccw,hrz
1,1,3,0,2,1,0,1
2,1,1,1,3,0,0,0
3,1,3,0,3,1,0,1
4,1,1,1,2,1,0,0
5,1,4,0,3,0,1,1
6,1,2,9,1,1,1,0
7,1,2,1,2,1,1,0
8,1,2,1,3,0,1,0
9,1,3,0,3,0,0,1
10,1,3,0,3,1,0,1
11,1,1,9,1,0,0,0
12,1,2,1,3,1,1,0
13,1,1,1,3,0,0,0
14,1,2,1,3,1,1,0
15,1,4,9,1,1,1,1
16,1,4,0,3,0,1,1
17,1,4,0,2,1,1,1
18,1,2,1,3,0,1,0
19,1,4,0,2,1,1,1
20,1,3,0,1,1,0,1
21,1,2,1,2,0,1,0
22,1,4,9,3,1,1,1
23,1,2,1,3,0,1,0
24,1,1,9,3,1,0,0
25,1,2,1,2,0,1,0
26,1,2,1,3,1,1,0
27,1,3,0,1,0,0,1
28,1,3,0,3,1,0,1
29,1,1,1,3,0,0,0
30,1,4,0,1,0,1,1
31,1,2,1,1,0,1,0
32,1,4,0,3,1,1,1
33,1,3,9,2,1,0,1
34,1,1,1,3,1,0,0
35,1,3,0,3,1,0,1
36,1,3,0,2,1,0,1
37,1,1,1,3,0,0,0
38,1,2,1,2,1,1,0
39,1,1,1,1,0,0,0
40,1,1,1,3,1,0,0
41,1,1,1,1,1,0,0
42,1,3,0,3,0,0,1
43,1,1,1,3,1,0,0
44,1,4,0,2,1,1,1
45,1,2,1,3,1,1,0
46,1,3,0,3,0,0,1
47,1,1,9,3,0,0,0
48,1,2,9,3,0,1,0
49,1,2,9,1,0,1,0
50,1,2,1,2,1,1,0
51,1,1,1,2,1,0,0
52,1,3,0,1,1,0,1
53,1,3,0,1,0,0,1
54,1,3,9,3,1,0,1
55,1,2,1,3,1,1,0
56,1,4,9,3,1,1,1
57,1,4,0,3,1,1,1
58,1,1,1,2,1,0,0
59,1,4,0,1,0,1,1
60,1,1,1,3,0,0,0
61,1,1,9,2,0,0,0
62,1,2,1,3,0,1,0
63,1,4,0,1,0,1,1
64,1,2,1,2,1,1,0
65,1,4,0,3,1,1,1
66,1,4,0,2,1,1,1
67,1,4,9,3,1,1,1
68,1,2,1,3,0,1,0
69,1,3,0,1,0,0,1
70,1,3,0,1,0,0,1
71,1,1,1,3,0,0,0
72,1,1,1,1,0,0,0
73,1,3,0,3,1,0,1
74,1,3,0,3,0,0,1
75,1,2,1,3,1,1,0
76,1,2,1,2,1,1,0
77,1,4,0,3,0,1,1
78,1,4,0,2,1,1,1
79,1,4,0,3,1,1,1
80,1,3,0,1,0,0,1
81,1,2,1,1,0,1,0
82,1,3,9,2,1,0,1
83,1,4,9,2,1,1,1
84,1,3,9,2,1,0,1
85,1,4,0,1,0,1,1
86,1,2,1,3,1,1,0
87,1,3,0,2,1,0,1
88,1,3,9,3,0,0,1
89,1,2,1,3,1,1,0
90,1,2,1,2,1,1,0
91,1,1,1,2,1,0,0
92,1,3,0,3,0,0,1
93,1,4,0,3,0,1,1
94,1,3,0,2,1,0,1
95,1,3,0,3,1,0,1
96,1,1,1,3,0,0,0
97,1,4,0,1,1,1,1
98,1,3,0,2,1,0,1
99,1,2,9,3,1,1,0
100,1,4,0,3,0,1,1
101,1,4,0,3,0,1,1
102,1,3,0,2,1,0,1
103,1,1,1,2,1,0,0
104,1,1,9,2,1,0,0
105,1,3,0,1,0,0,1
106,1,2,1,3,1,1,0
107,1,3,9,1,0,0,1
108,1,3,9,2,1,0,1
109,1,4,0,3,1,1,1
110,1,1,1,2,0,0,0
111,1,3,0,1,0,0,1
112,1,3,0,3,0,0,1
113,1,4,0,3,0,1,1
114,1,4,0,3,1,1,1
115,1,2,1,3,1,1,0
116,1,4,0,1,0,1,1
117,1,1,1,3,1,0,0
118,1,2,1,1,0,1,0
119,1,4,0,1,1,1,1
120,1,1,1,2,1,0,0
121,1,3,0,3,0,0,1
122,1,4,0,3,1,1,1
123,1,4,9,3,0,1,1
124,1,2,1,1,0,1,0
125,1,2,9,3,1,1,0
126,1,3,0,1,1,0,1
127,1,4,0,2,0,1,1
128,1,2,1,3,0,1,0
129,1,1,1,3,0,0,0
130,1,3,0,1,0,0,1
131,1,4,0,3,1,1,1
132,1,2,9,1,0,1,0
133,1,3,9,3,1,0,1
134,1,4,0,3,0,1,1
135,1,3,0,1,0,0,1
136,1,4,0,1,1,1,1
137,1,4,9,3,0,1,1
138,1,4,0,1,0,1,1
139,1,2,9,2,0,1,0
140,1,4,9,2,0,1,1
141,1,1,1,3,1,0,0
142,1,2,9,3,0,1,0
143,1,4,0,2,1,1,1
144,1,3,9,1,1,0,1
145,1,3,9,1,0,0,1
146,1,3,0,2,1,0,1
147,1,4,9,2,1,1,1
148,1,1,1,2,1,0,0
149,1,4,0,1,0,1,1
150,1,1,1,2,1,0,0
151,1,1,1,1,0,0,0
152,1,1,1,1,1,0,0
153,1,2,9,3,1,1,0
154,1,2,1,2,1,1,0
155,1,1,1,3,1,0,0
156,1,1,9,3,0,0,0
157,1,1,1,1,0,0,0
158,1,1,1,3,1,0,0
159,1,4,0,2,1,1,1
160,1,2,9,2,1,1,0
161,1,4,0,3,1,1,1
162,1,2,1,1,1,1,0
163,1,4,0,3,1,1,1
164,1,1,1,3,1,0,0
165,1,4,0,2,1,1,1
166,1,4,9,2,1,1,1
167,1,1,1,3,1,0,0
168,1,2,1,2,0,1,0
169,1,1,1,3,1,0,0
170,1,3,9,3,1,0,1
171,1,1,1,2,0,0,0
172,1,1,1,3,0,0,0
173,1,3,0,3,1,0,1
174,1,1,1,1,0,0,0
175,1,1,1,3,1,0,0
176,1,3,0,2,0,0,1
177,1,1,1,2,1,0,0
178,1,1,1,3,0,0,0
179,1,3,0,2,0,0,1
180,1,3,9,2,0,0,1
181,1,3,9,3,0,0,1
182,1,3,0,3,0,0,1
183,1,4,0,2,1,1,1
184,1,4,9,3,0,1,1
185,1,3,0,3,1,0,1
186,1,1,1,2,0,0,0
187,1,3,0,2,1,0,1
188,1,2,1,3,0,1,0
189,1,1,9,3,1,0,0
190,1,1,1,2,1,0,0
191,1,2,1,3,1,1,0
192,1,4,0,1,1,1,1
193,1,3,0,1,0,0,1
194,1,4,0,3,0,1,1
195,1,1,1,1,0,0,0
196,1,2,1,3,0,1,0
197,1,2,1,3,0,1,0
198,1,4,0,3,1,1,1
199,1,2,1,3,0,1,0
200,1,1,1,1,1,0,0
201,1,2,1,1,0,1,0
202,1,2,1,1,0,1,0
203,1,2,9,3,0,1,0
204,1,2,1,1,0,1,0
205,1,1,9,1,1,0,0
206,1,1,1,1,0,0,0
207,1,4,0,2,1,1,1
208,1,2,1,3,0,1,0
209,1,1,1,3,1,0,0
210,1,3,0,3,0,0,1
211,1,4,9,3,1,1,1
212,1,4,0,2,1,1,1
213,1,4,0,2,0,1,1
214,1,1,1,3,0,0,0
215,1,1,1,1,0,0,0
216,1,3,0,2,1,0,1
217,1,3,0,2,1,0,1
218,1,1,1,2,1,0,0
219,1,4,0,1,0,1,1
220,1,2,1,2,1,1,0
221,1,3,0,3,1,0,1
222,1,3,0,1,0,0,1
223,1,1,9,1,0,0,0
224,1,1,1,3,1,0,0
225,1,1,1,1,0,0,0
226,1,2,9,2,1,1,0
227,1,2,1,3,0,1,0
228,1,3,0,2,0,0,1
229,1,2,1,3,0,1,0
230,1,2,1,1,1,1,0
231,1,4,0,3,0,1,1
232,1,1,1,2,1,0,0
233,1,1,9,2,1,0,0
234,1,4,0,3,0,1,1
235,1,4,9,3,0,1,1
236,1,3,0,3,0,0,1
237,1,3,9,3,1,0,1
238,1,1,9,3,1,0,0
239,1,1,1,1,0,0,0
240,1,2,1,2,1,1,0
241,1,2,1,3,1,1,0
242,1,1,1,3,0,0,0
243,1,2,1,1,0,1,0
244,1,4,0,3,0,1,1
245,1,4,0,2,0,1,1
246,1,3,9,3,0,0,1
247,1,4,0,3,0,1,1
248,1,2,1,2,1,1,0
249,1,3,0,3,1,0,1
250,1,2,1,2,1,1,0
251,1,4,0,2,1,1,1
252,1,3,0,2,1,0,1
253,1,4,0,1,0,1,1
254,1,3,0,3,0,0,1
255,1,2,1,2,1,1,0
256,1,4,0,2,1,1,1
257,1,4,0,3,0,1,1
258,1,4,0,3,1,1,1
259,1,3,0,1,0,0,1
260,1,4,0,3,1,1,1
261,1,2,1,3,0,1,0
262,1,4,9,1,0,1,1
263,1,2,1,3,1,1,0
264,1,3,9,3,0,0,1
265,1,1,1,1,0,0,0
266,1,1,1,2,0,0,0
267,1,2,1,1,0,1,0
268,1,3,0,3,0,0,1
269,1,2,1,3,1,1,0
270,1,3,9,1,0,0,1
271,1,3,0,2,1,0,1
272,1,2,1,2,0,1,0
273,1,2,9,1,0,1,0
274,1,3,0,3,1,0,1
275,1,1,1,3,0,0,0
276,1,4,9,2,1,1,1
277,1,3,0,2,1,0,1
278,1,3,0,2,0,0,1
279,1,2,1,2,1,1,0
280,1,2,1,1,0,1,0
281,1,1,1,1,0,0,0
282,1,3,0,2,1,0,1
283,1,2,1,3,0,1,0
284,1,2,9,1,0,1,0
285,1,4,0,3,0,1,1
286,1,1,1,2,1,0,0
287,1,4,9,1,0,1,1
288,1,2,1,3,0,1,0
289,1,2,1,2,1,1,0
290,1,1,1,2,1,0,0
291,1,1,9,3,0,0,0
292,1,4,0,2,0,1,1
293,1,2,1,3,1,1,0
294,1,4,0,1,0,1,1
295,1,3,0,3,1,0,1
296,1,1,1,1,0,0,0
297,1,4,0,1,0,1,1
298,1,3,0,2,1,0,1
299,1,1,9,3,1,0,0
300,1,3,0,3,1,0,1
301,1,4,0,3,1,1,1
302,1,3,0,3,1,0,1
303,1,4,0,3,1,1,1
304,1,3,0,3,0,0,1
305,1,2,1,1,0,1,0
306,1,2,1,1,0,1,0
307,1,2,1,1,0,1,0
308,1,4,0,1,0,1,1
309,1,2,1,1,1,1,0
310,1,2,9,2,1,1,0
311,1,1,1,3,0,0,0
312,1,2,1,1,0,1,0
313,1,2,9,2,1,1,0
314,1,1,9,2,1,0,0
315,1,4,9,1,0,1,1
316,1,3,0,3,1,0,1
317,1,1,9,1,0,0,0
318,1,4,0,1,0,1,1
319,1,1,1,2,1,0,0
320,1,3,0,1,1,0,1
321,1,3,0,1,0,0,1
322,1,2,1,1,1,1,0
323,1,2,1,1,0,1,0
324,1,4,0,1,0,1,1
325,1,4,0,3,1,1,1
326,1,3,0,2,1,0,1
327,1,1,1,3,1,0,0
328,1,1,1,1,1,0,0
329,1,3,0,3,0,0,1
330,1,4,0,1,0,1,1
331,1,1,1,2,1,0,0
332,1,2,9,3,0,1,0
333,1,2,9,3,1,1,0
334,1,4,0,2,1,1,1
335,1,4,0,2,1,1,1
336,1,3,0,1,0,0,1
337,1,4,0,1,0,1,1
338,1,1,1,1,0,0,0
339,1,4,0,3,0,1,1
340,1,2,1,1,0,1,0
341,1,2,1,2,1,1,0
342,1,3,0,1,0,0,1
343,1,3,0,1,0,0,1
344,1,1,9,3,0,0,0
345,1,1,1,1,0,0,0
346,1,1,9,2,1,0,0
347,1,2,1,3,1,1,0
348,1,1,1,3,0,0,0
349,1,1,1,3,1,0,0
350,1,3,9,1,0,0,1
351,1,1,1,3,1,0,0
352,1,1,1,3,0,0,0
353,1,3,0,3,0,0,1
354,1,1,9,1,0,0,0
355,1,2,1,2,1,1,0
356,1,1,1,1,0,0,0
357,1,3,0,3,0,0,1
358,1,4,0,2,1,1,1
359,1,4,9,1,0,1,1
360,1,3,0,3,1,0,1
361,2,4,0,3,0,1,1
362,2,1,1,2,1,0,0
363,2,4,0,2,1,1,1
364,2,1,1,1,0,0,0
365,2,4,0,2,1,1,1
366,2,2,1,1,0,1,0
367,2,4,0,3,1,1,1
368,2,3,0,3,1,0,1
369,2,1,1,2,1,0,0
370,2,1,9,3,1,0,0
371,2,4,9,3,1,1,1
372,2,2,1,1,0,1,0
373,2,2,1,3,0,1,0
374,2,2,9,2,0,1,0
375,2,2,1,3,1,1,0
376,2,1,1,3,0,0,0
377,2,1,1,3,0,0,0
378,2,1,1,3,0,0,0
379,2,3,0,2,1,0,1
380,2,1,9,3,1,0,0
381,2,1,1,2,1,0,0
382,2,2,1,3,1,1,0
383,2,3,0,1,1,0,1
384,2,3,9,3,0,0,1
385,2,4,0,3,0,1,1
386,2,4,0,3,1,1,1
387,2,3,0,3,1,0,1
388,2,1,9,3,0,0,0
389,2,3,0,2,1,0,1
390,2,3,0,2,0,0,1
391,2,4,0,3,1,1,1
392,2,1,1,3,1,0,0
393,2,4,0,1,0,1,1
394,2,3,0,3,1,0,1
395,2,4,0,3,0,1,1
396,2,3,0,1,0,0,1
397,2,1,1,1,0,0,0
398,2,1,1,3,1,0,0
399,2,1,1,1,0,0,0
400,2,2,1,3,0,1,0
401,2,3,0,2,1,0,1
402,2,4,0,2,0,1,1
403,2,1,1,2,1,0,0
404,2,3,0,3,1,0,1
405,2,4,0,1,0,1,1
406,2,4,0,2,0,1,1
407,2,3,0,1,0,0,1
408,2,2,1,3,0,1,0
409,2,1,9,1,0,0,0
410,2,2,1,2,1,1,0
411,2,4,9,1,0,1,1
412,2,2,1,2,0,1,0
413,2,1,9,3,1,0,0
414,2,3,0,1,0,0,1
415,2,1,1,3,0,0,0
416,2,2,1,2,1,1,0
417,2,4,0,3,1,1,1
418,2,3,9,1,1,0,1
419,2,3,0,3,0,0,1
420,2,2,1,2,1,1,0
421,2,4,0,2,0,1,1
