sub	sess	t	loc	co1	co2	or	resp	rt
112	1	1	1	1.0000	1.0000	1	1	15.575
112	1	2	2	1.0000	1.0000	0	1	3.950
112	1	3	1	1.0000	1.0000	0	1	2.167
112	1	4	1	1.0000	1.0000	0	1	1.704
112	1	5	1	1.0000	1.0000	1	1	0.854
112	1	6	2	1.0000	1.0000	1	0	1.045
112	1	7	2	1.0000	1.0000	0	1	2.894
112	1	8	2	1.0000	1.0000	0	1	1.027
112	1	9	2	1.0000	1.0000	1	1	0.794
112	1	10	2	1.0000	1.0000	1	1	3.131
112	1	11	1	1.0000	1.0000	1	1	1.957
112	1	12	2	1.0000	1.0000	1	1	0.802
112	1	13	1	1.0000	1.0000	1	1	0.940
112	1	14	1	1.0000	1.0000	0	1	0.793
112	1	15	2	1.0000	1.0000	0	1	1.017
112	1	16	2	1.0000	1.0000	1	1	0.722
112	1	17	1	1.0000	1.0000	1	1	1.174
112	1	18	2	1.0000	1.0000	0	1	1.193
112	1	19	2	1.0000	1.0000	0	1	0.836
112	1	20	2	1.0000	1.0000	1	1	0.698
112	1	21	1	1.0000	1.0000	1	1	1.639
112	1	22	1	1.0000	1.0000	0	1	0.903
112	1	23	2	1.0000	1.0000	1	1	0.805
112	1	24	2	1.0000	1.0000	1	1	2.285
112	1	25	2	1.0000	1.0000	0	1	0.787
112	1	26	1	1.0000	1.0000	0	1	0.956
112	1	27	2	1.0000	1.0000	0	1	1.197
112	1	28	1	1.0000	1.0000	1	1	0.893
112	1	29	2	0.2500	0.2500	0	1	0.946
112	1	30	2	0.2629	0.2629	0	1	0.789
112	1	31	1	0.2758	0.2758	1	1	0.774
112	1	32	1	0.2887	0.2887	1	1	0.833
112	1	33	2	0.3016	0.3016	0	1	0.857
112	1	34	1	0.3145	0.3145	0	1	0.712
112	1	35	1	0.3274	0.3274	1	1	0.732
112	1	36	1	0.3403	0.3403	1	1	0.720
112	1	37	2	0.3532	0.3532	0	1	0.724
112	1	38	1	0.3661	0.3661	0	1	0.800
112	1	39	1	0.3790	0.3790	1	1	0.703
112	1	40	1	0.3919	0.3919	0	1	0.661
112	1	41	1	0.4048	0.4048	0	1	0.709
112	1	42	1	0.4177	0.4177	0	1	1.456
112	1	43	1	0.4306	0.4306	0	1	0.928
112	1	44	2	0.4435	0.4435	1	1	1.502
112	1	45	2	0.4565	0.4565	0	1	1.257
112	1	46	2	0.4694	0.4694	1	1	1.586
112	1	47	2	0.4823	0.4823	0	1	1.179
112	1	48	2	0.4952	0.4952	1	1	0.869
112	1	49	2	0.5081	0.5081	1	1	1.085
112	1	50	1	0.5210	0.5210	1	1	0.997
112	1	51	2	0.5339	0.5339	0	1	1.920
112	1	52	2	0.5468	0.5468	1	1	0.732
112	1	53	1	0.5597	0.5597	1	1	1.456
112	1	54	1	0.5726	0.5726	1	1	0.798
112	1	55	2	0.5855	0.5855	1	1	1.062
112	1	56	1	0.5984	0.5984	0	1	0.820
112	1	57	1	0.6113	0.6113	0	1	0.900
112	1	58	2	0.6242	0.6242	0	1	0.984
112	1	59	2	0.6371	0.6371	1	1	0.786
112	1	60	1	0.6500	0.6500	0	1	0.830
112	1	61	2	0.2500	0.2500	0	1	0.916
112	1	62	1	0.2629	0.2629	0	1	0.785
112	1	63	2	0.2758	0.2758	0	1	1.299
112	1	64	2	0.2887	0.2887	1	1	0.713
112	1	65	1	0.3016	0.3016	1	1	1.254
112	1	66	1	0.3145	0.3145	0	1	0.846
112	1	67	1	0.3274	0.3274	0	1	1.086
112	1	68	2	0.3403	0.3403	1	1	0.635
112	1	69	1	0.3532	0.3532	1	1	0.693
112	1	70	1	0.3661	0.3661	0	1	0.690
112	1	71	2	0.3790	0.3790	1	1	0.609
112	1	72	1	0.3919	0.3919	1	1	0.728
112	1	73	2	0.4048	0.4048	0	1	0.799
112	1	74	2	0.4177	0.4177	0	1	1.287
112	1	75	1	0.4306	0.4306	1	1	0.789
112	1	76	2	0.4435	0.4435	1	1	1.021
112	1	77	2	0.4565	0.4565	1	1	1.127
112	1	78	2	0.4694	0.4694	0	1	0.843
112	1	79	2	0.4823	0.4823	1	1	0.916
112	1	80	2	0.4952	0.4952	0	1	0.754
112	1	81	1	0.5081	0.5081	1	1	0.715
112	1	82	1	0.5210	0.5210	0	1	0.774
112	1	83	1	0.5339	0.5339	0	1	0.554
112	1	84	1	0.5468	0.5468	1	1	0.600
112	1	85	2	0.5597	0.5597	0	1	0.767
112	1	86	2	0.5726	0.5726	1	1	0.746
112	1	87	2	0.5855	0.5855	1	1	0.709
112	1	88	2	0.5984	0.5984	1	1	0.817
112	1	89	1	0.6113	0.6113	1	1	0.848
112	1	90	1	0.6242	0.6242	0	1	0.624
112	1	91	1	0.6371	0.6371	1	1	0.695
112	1	92	2	0.6500	0.6500	0	1	0.837
112	1	93	2	0.6371	0.1744	1	1	0.548
112	1	94	2	0.6371	0.1625	0	1	0.689
112	1	95	1	0.1621	0.1625	1	1	0.742
112	1	96	2	0.1621	0.1504	1	1	1.499
112	1	97	2	0.1621	0.1382	0	1	1.249
112	1	98	1	0.1521	0.1382	0	1	0.865
112	1	99	2	0.1521	0.1259	0	1	0.742
112	1	100	1	0.1419	0.1259	0	1	0.705
112	1	101	1	0.1315	0.1259	0	0	2.776
112	1	102	2	0.1315	0.1137	0	1	0.831
112	1	103	1	0.1620	0.1137	0	1	0.664
112	1	104	1	0.1539	0.1137	0	1	0.901
112	1	105	2	0.1539	0.1014	0	1	1.867
112	1	106	2	0.1539	0.0893	0	1	1.363
112	1	107	1	0.1458	0.0893	0	1	0.836
112	1	108	1	0.1377	0.0893	0	1	0.883
112	1	109	1	0.1296	0.0893	1	1	0.711
112	1	110	2	0.1296	0.0774	1	1	0.970
112	1	111	1	0.1215	0.0774	0	1	0.799
112	1	112	2	0.1215	0.0658	1	1	0.727
112	1	113	1	0.1135	0.0658	0	1	0.578
112	1	114	1	0.1055	0.0658	0	1	0.764
112	1	115	2	0.1055	0.0545	1	1	0.716
112	1	116	1	0.0976	0.0545	1	1	0.857
112	1	117	1	0.0898	0.0545	1	1	0.631
112	1	118	1	0.0822	0.0545	1	1	0.759
112	1	119	2	0.0822	0.0435	1	1	1.034
112	1	120	2	0.0822	0.0330	1	1	0.993
112	1	121	2	0.0822	0.0230	1	1	1.128
112	1	122	1	0.0747	0.0230	1	1	1.346
112	1	123	1	0.0673	0.0230	1	1	1.157
112	1	124	2	0.0673	0.0135	0	1	1.113
112	1	125	2	0.0673	0.0045	0	1	1.535
112	1	126	2	0.0673	-0.0039	0	1	1.099
112	1	127	1	0.0600	-0.0039	1	1	0.858
112	1	128	1	0.0530	-0.0039	1	1	0.769
112	1	129	2	0.0530	-0.0118	1	0	0.989
112	1	130	2	0.0530	0.0109	0	0	0.821
112	1	131	1	0.0462	0.0109	1	0	1.391
112	1	132	1	0.0668	0.0109	0	1	1.169
112	1	133	1	0.0605	0.0109	1	1	0.622
112	1	134	1	0.0544	0.0109	1	1	0.591
112	1	135	1	0.0484	0.0109	1	1	0.698
112	1	136	1	0.0426	0.0109	0	1	0.799
112	1	137	2	0.0426	0.0348	1	1	2.959
112	1	138	2	0.0426	0.0267	1	1	1.035
112	1	139	2	0.0426	0.0191	0	1	1.228
112	1	140	2	0.0426	0.0118	1	1	3.740
112	1	141	2	0.0426	0.0050	0	1	1.550
112	1	142	2	0.0426	-0.0015	0	0	0.971
112	1	143	1	0.0369	-0.0015	1	1	3.837
112	1	144	2	0.0369	0.0174	1	1	1.174
112	1	145	1	0.0314	0.0174	1	1	2.246
112	1	146	2	0.0314	0.0110	0	1	1.965
112	1	147	2	0.0314	0.0050	0	1	2.735
112	1	148	2	0.0314	-0.0009	0	0	0.947
112	1	149	1	0.0262	-0.0009	1	0	1.736
112	1	150	2	0.0262	0.0161	1	1	1.411
112	1	151	1	0.0421	0.0161	0	1	3.051
112	1	152	2	0.0421	0.0103	1	1	3.194
112	1	153	2	0.0421	0.0049	1	0	1.027
112	1	154	1	0.0371	0.0049	0	1	0.836
112	1	155	1	0.0321	0.0049	0	1	1.602
112	1	156	1	0.0274	0.0049	0	1	0.755
