sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt
120	1	1	0	2	-1	0.0619	0.0781	0	0	4.266
120	1	2	0	1	-1	0.0619	0.0781	1	1	1.664
120	1	3	0	1	-1	0.0619	0.0781	0	1	0.901
120	1	4	0	1	-1	0.0619	0.0781	0	1	1.123
120	1	5	0	2	-1	0.0619	0.0781	1	1	0.895
120	1	6	0	1	-1	0.0619	0.0781	1	1	0.996
120	1	7	0	2	-1	0.0619	0.0781	0	1	1.023
120	1	8	0	1	-1	0.0619	0.0781	1	0	1.399
120	1	9	0	2	-1	0.0619	0.0781	1	1	1.096
120	1	10	0	1	-1	0.0619	0.0781	0	0	1.558
120	1	11	0	1	-1	0.0619	0.0781	0	1	0.816
120	1	12	0	1	-1	0.0619	0.0781	0	1	0.753
120	1	13	0	2	-1	0.0619	0.0781	1	1	0.804
120	1	14	0	2	-1	0.0619	0.0781	0	1	0.911
120	1	15	0	2	-1	0.0619	0.0781	1	1	0.899
120	1	16	0	1	-1	0.0619	0.0781	0	1	0.753
120	1	17	0	2	-1	0.0619	0.0781	0	1	0.886
120	1	18	0	1	-1	0.0619	0.0781	1	1	1.156
120	1	19	0	2	-1	0.0619	0.0781	1	1	1.014
120	1	20	0	1	-1	0.0619	0.0781	1	1	0.808
120	1	21	0	2	-1	0.0619	0.0781	0	1	0.856
120	1	22	0	1	-1	0.0619	0.0781	1	1	0.766
120	1	23	0	1	-1	0.0619	0.0781	1	1	0.707
120	1	24	0	2	-1	0.0619	0.0781	0	1	0.719
120	1	25	0	2	-1	0.0619	0.0781	0	1	0.891
120	1	26	0	2	-1	0.0619	0.0781	0	1	0.970
120	1	27	0	2	-1	0.0619	0.0781	1	1	0.838
120	1	28	0	1	-1	0.0619	0.0781	0	1	0.895
120	1	29	0	2	-1	0.0619	0.0781	1	1	0.956
120	1	30	0	2	-1	0.0619	0.0781	1	1	1.230
120	1	31	0	1	-1	0.0619	0.0781	0	1	0.768
120	1	32	0	1	-1	0.0619	0.0781	1	1	1.002
120	1	33	1	2	-1	0.0619	0.0781	0	1	1.113
120	1	34	1	1	-1	0.0619	0.0781	0	1	1.157
120	1	35	1	2	-1	0.0619	0.0781	0	1	1.017
120	1	36	1	2	-1	0.0619	0.0781	0	1	0.811
120	1	37	1	1	-1	0.0619	0.0781	1	1	0.717
120	1	38	1	2	-1	0.0619	0.0781	0	1	0.859
120	1	39	1	2	-1	0.0619	0.0781	0	1	0.649
120	1	40	1	1	-1	0.0619	0.0781	0	1	0.839
120	1	41	1	2	-1	0.0619	0.0781	1	1	1.113
120	1	42	1	1	-1	0.0619	0.0781	0	1	1.382
120	1	43	1	2	-1	0.0619	0.0781	0	1	0.952
120	1	44	1	2	-1	0.0619	0.0781	1	1	0.884
120	1	45	1	2	-1	0.0619	0.0781	0	0	1.112
120	1	46	1	2	-1	0.0619	0.0781	1	1	0.782
120	1	47	1	2	-1	0.0619	0.0781	1	1	0.728
120	1	48	1	1	-1	0.0619	0.0781	0	1	0.643
120	1	49	1	2	-1	0.0619	0.0781	1	1	0.603
120	1	50	1	1	-1	0.0619	0.0781	0	1	0.692
120	1	51	1	1	-1	0.0619	0.0781	1	0	0.962
120	1	52	1	2	-1	0.0619	0.0781	1	1	0.589
120	1	53	1	1	-1	0.0619	0.0781	0	1	0.481
120	1	54	1	2	-1	0.0619	0.0781	1	1	0.671
120	1	55	1	2	-1	0.0619	0.0781	0	1	0.957
120	1	56	1	1	-1	0.0619	0.0781	1	1	0.470
120	1	57	1	1	-1	0.0619	0.0781	1	1	0.615
120	1	58	1	1	-1	0.0619	0.0781	1	1	0.696
120	1	59	1	1	-1	0.0619	0.0781	0	0	0.924
120	1	60	1	1	-1	0.0619	0.0781	0	1	0.707
120	1	61	1	1	-1	0.0619	0.0781	1	1	0.650
120	1	62	1	1	-1	0.0619	0.0781	1	1	0.626
120	1	63	1	2	-1	0.0619	0.0781	1	1	0.708
120	1	64	1	1	-1	0.0619	0.0781	1	1	0.495
