sub	sess	t	loc	cue	co1	co2	or	resp	rt
123	1	1	2	1	0.1005	0.3541	0	1	5.748
123	1	2	2	3	0.1005	0.3541	0	1	0.976
123	1	3	1	1	0.1005	0.3541	0	0	1.236
123	1	4	2	3	0.1005	0.3541	1	0	0.909
123	1	5	1	3	0.1005	0.3541	0	1	1.154
123	1	6	2	2	0.1005	0.3541	1	1	0.763
123	1	7	2	2	0.1005	0.3541	1	1	1.928
123	1	8	2	3	0.1005	0.3541	0	1	0.777
123	1	9	2	3	0.1005	0.3541	1	1	0.645
123	1	10	2	2	0.1005	0.3541	0	1	4.317
123	1	11	1	1	0.1005	0.3541	0	1	3.209
123	1	12	2	2	0.1005	0.3541	0	1	0.738
123	1	13	2	2	0.1005	0.3541	0	1	0.728
123	1	14	2	2	0.1005	0.3541	0	1	0.562
123	1	15	2	3	0.1005	0.3541	0	1	1.085
123	1	16	1	3	0.1005	0.3541	1	1	1.017
123	1	17	1	1	0.1005	0.3541	1	0	1.444
123	1	18	1	1	0.1005	0.3541	0	1	0.635
123	1	19	2	2	0.1005	0.3541	0	1	0.449
123	1	20	2	1	0.1005	0.3541	0	1	1.346
123	1	21	1	1	0.1005	0.3541	1	1	1.242
123	1	22	1	1	0.1005	0.3541	1	1	0.807
123	1	23	2	2	0.1005	0.3541	1	1	0.695
123	1	24	2	2	0.1005	0.3541	0	1	0.476
123	1	25	2	3	0.1005	0.3541	1	1	1.179
123	1	26	1	3	0.1005	0.3541	0	1	0.830
123	1	27	2	2	0.1005	0.3541	1	1	0.735
123	1	28	1	2	0.1005	0.3541	0	1	1.068
123	1	29	1	1	0.1005	0.3541	0	1	0.866
123	1	30	1	1	0.1005	0.3541	1	1	0.658
123	1	31	2	3	0.1005	0.3541	1	1	1.153
123	1	32	1	3	0.1005	0.3541	0	1	0.804
123	1	33	1	1	0.1005	0.3541	0	0	2.036
123	1	34	1	2	0.1005	0.3541	1	1	1.036
123	1	35	2	2	0.1005	0.3541	1	1	1.129
123	1	36	1	3	0.1005	0.3541	1	1	0.791
123	1	37	2	2	0.1005	0.3541	1	1	0.657
123	1	38	1	2	0.1005	0.3541	1	0	0.977
123	1	39	1	1	0.1005	0.3541	1	1	0.572
123	1	40	1	1	0.1005	0.3541	0	1	0.526
123	1	41	2	1	0.1005	0.3541	1	1	1.502
123	1	42	1	1	0.1005	0.3541	1	1	0.742
123	1	43	1	1	0.1005	0.3541	0	1	0.881
123	1	44	2	2	0.1005	0.3541	1	1	0.694
123	1	45	1	3	0.1005	0.3541	0	1	0.763
123	1	46	1	1	0.1005	0.3541	0	1	0.527
123	1	47	2	2	0.1005	0.3541	0	0	1.100
123	1	48	2	2	0.1005	0.3541	1	1	0.768
123	1	49	1	1	0.1005	0.3541	1	1	0.949
123	1	50	2	3	0.1005	0.3541	0	1	0.608
123	1	51	1	3	0.1005	0.3541	1	1	0.800
123	1	52	2	1	0.1005	0.3541	1	1	0.872
123	1	53	1	3	0.1005	0.3541	1	1	1.305
123	1	54	1	2	0.1005	0.3541	0	0	2.039
123	1	55	1	1	0.1005	0.3541	1	1	0.688
123	1	56	2	2	0.1005	0.3541	0	1	0.685
123	1	57	1	1	0.1005	0.3541	0	1	0.938
123	1	58	1	3	0.1005	0.3541	0	1	0.975
123	1	59	2	2	0.1005	0.3541	1	1	0.859
123	1	60	2	2	0.1005	0.3541	0	1	0.451
123	1	61	1	3	0.1005	0.3541	0	1	2.090
123	1	62	2	1	0.1005	0.3541	0	1	0.512
123	1	63	2	2	0.1005	0.3541	1	1	0.611
123	1	64	2	3	0.1005	0.3541	1	1	0.749
123	1	65	1	3	0.1005	0.3541	1	0	0.815
123	1	66	1	3	0.1005	0.3541	0	1	1.007
123	1	67	1	1	0.1005	0.3541	0	1	0.690
123	1	68	2	3	0.1005	0.3541	1	1	0.817
123	1	69	1	3	0.1005	0.3541	1	1	0.900
123	1	70	2	2	0.1005	0.3541	1	1	1.034
123	1	71	1	1	0.1005	0.3541	1	1	0.977
123	1	72	1	1	0.1005	0.3541	1	1	1.003
123	1	73	2	2	0.1005	0.3541	1	1	0.723
123	1	74	2	2	0.1005	0.3541	1	1	0.600
123	1	75	1	1	0.1005	0.3541	1	1	0.857
123	1	76	1	1	0.1005	0.3541	0	1	0.760
123	1	77	2	3	0.1005	0.3541	0	1	1.203
123	1	78	2	2	0.1005	0.3541	0	1	1.284
