sub	sess	t	rew	loc	cue	co1	co2	or	resp	rt	rew_tot	left_col	right_col
144	1	1	9	1	1	0.0500	0.0965	1	0	0.732	0	0	82
144	1	2	0	2	3	0.0500	0.0965	0	1	0.476	9	82	82
144	1	3	0	2	3	0.0500	0.0965	1	1	0.476	9	0	82
144	1	4	9	1	2	0.0500	0.0965	0	1	0.682	0	0	0
144	1	5	1	1	3	0.0500	0.0965	1	0	0.559	0	0	82
144	1	6	0	1	3	0.0500	0.0965	0	0	0.682	0	82	82
144	1	7	1	1	3	0.0500	0.0965	0	1	0.548	80	0	0
144	1	8	0	1	2	0.0500	0.0965	0	1	0.549	8	82	82
144	1	9	0	1	1	0.0500	0.0965	1	1	0.647	7	82	0
144	1	10	1	2	1	0.0500	0.0965	0	1	0.458	89	0	0
144	1	11	9	2	3	0.0500	0.0965	1	1	0.559	0	0	82
144	1	12	1	1	3	0.0500	0.0965	1	1	0.656	69	0	82
144	1	13	9	1	1	0.0500	0.0965	0	1	0.348	0	82	82
144	1	14	0	2	2	0.0500	0.0965	0	1	0.453	9	82	82
144	1	15	9	1	3	0.0500	0.0965	0	0	0.493	0	82	82
144	1	16	9	2	3	0.0500	0.0965	0	1	0.493	0	0	0
144	1	17	0	1	2	0.0500	0.0965	1	0	0.708	0	82	0
144	1	18	0	1	3	0.0500	0.0965	0	1	0.488	9	82	82
144	1	19	1	1	1	0.0500	0.0965	0	1	0.558	79	0	0
144	1	20	0	1	1	0.0500	0.0965	0	1	0.474	9	82	82
144	1	21	0	1	1	0.0500	0.0965	0	1	0.443	9	82	82
144	1	22	9	2	3	0.0500	0.0965	0	1	0.561	0	0	0
144	1	23	1	1	3	0.0500	0.0965	0	1	0.363	99	0	0
144	1	24	0	2	3	0.0500	0.0965	0	1	0.544	8	82	82
144	1	25	0	2	1	0.0500	0.0965	1	1	0.561	8	0	82
144	1	26	1	2	3	0.0500	0.0965	1	1	0.531	82	82	0
144	1	27	1	1	1	0.0500	0.0965	1	1	0.868	50	0	82
144	1	28	9	1	1	0.0500	0.0965	0	1	0.548	0	82	82
144	1	29	1	1	3	0.0500	0.0965	1	1	0.603	75	0	82
144	1	30	0	1	3	0.0500	0.0965	0	1	0.420	9	82	82
144	1	31	9	2	3	0.0500	0.0965	0	0	0.495	0	82	82
144	1	32	1	1	1	0.0500	0.0965	0	1	0.372	98	0	0
144	1	33	0	1	3	0.0500	0.0965	0	1	0.290	10	82	82
144	1	34	1	2	2	0.0500	0.0965	1	0	0.329	0	82	0
144	1	35	0	2	2	0.0500	0.0965	1	1	0.496	9	0	82
144	1	36	1	2	2	0.0500	0.0965	0	1	0.383	97	0	0
144	1	37	1	1	1	0.0500	0.0965	0	1	0.335	100	0	0
144	1	38	0	1	1	0.0500	0.0965	0	1	0.376	10	82	82
144	1	39	1	1	3	0.0500	0.0965	1	1	0.451	90	0	82
144	1	40	1	2	3	0.0500	0.0965	1	0	0.423	0	82	0
144	1	41	9	2	3	0.0500	0.0965	1	1	0.484	0	82	0
144	1	42	0	1	1	0.0500	0.0965	1	0	0.426	0	82	0
144	1	43	0	1	1	0.0500	0.0965	0	1	0.496	9	82	82
144	1	44	0	1	3	0.0500	0.0965	0	1	0.455	9	82	82
144	1	45	9	2	1	0.0500	0.0965	1	1	0.578	0	0	82
144	1	46	0	1	1	0.0500	0.0965	1	0	0.391	0	82	0
144	1	47	1	2	3	0.0500	0.0965	1	1	0.535	81	82	0
144	1	48	9	2	3	0.0500	0.0965	1	1	0.437	0	0	82
144	1	49	0	1	1	0.0500	0.0965	0	1	0.412	9	82	82
144	1	50	1	1	1	0.0500	0.0965	1	0	0.345	0	0	82
144	1	51	0	1	3	0.0500	0.0965	0	1	0.435	9	82	82
144	1	52	1	2	3	0.0500	0.0965	1	0	0.594	0	82	0
144	1	53	9	2	3	0.0500	0.0965	0	1	0.466	0	0	0
144	1	54	1	2	2	0.0500	0.0965	1	1	0.491	86	82	0
144	1	55	9	1	2	0.0500	0.0965	0	1	0.443	0	82	82
144	1	56	0	1	3	0.0500	0.0965	0	1	0.444	9	82	82
144	1	57	9	1	3	0.0500	0.0965	1	1	1.107	0	82	0
144	1	58	0	1	3	0.0500	0.0965	0	1	0.424	9	82	82
144	1	59	1	2	3	0.0500	0.0965	1	1	0.486	86	82	0
144	1	60	1	1	1	0.0500	0.0965	0	1	0.465	89	0	0
144	1	61	1	1	3	0.0500	0.0965	0	1	0.627	72	0	0
144	1	62	0	2	3	0.0500	0.0965	0	0	0.413	0	82	82
144	1	63	1	2	1	0.0500	0.0965	0	1	0.492	86	0	0
144	1	64	0	2	3	0.0500	0.0965	1	1	0.447	9	0	82
144	1	65	9	2	2	0.0500	0.0965	1	1	0.594	0	0	82
144	1	66	1	2	3	0.0500	0.0965	1	1	0.491	86	82	0
144	1	67	1	2	2	0.0500	0.0965	0	1	0.425	93	0	0
144	1	68	1	2	2	0.0500	0.0965	1	1	0.431	92	82	0
144	1	69	0	2	3	0.0500	0.0965	0	1	0.456	9	82	82
144	1	70	1	1	3	0.0500	0.0965	0	1	0.580	77	0	0
144	1	71	9	2	1	0.0500	0.0965	1	1	0.534	0	82	0
144	1	72	1	2	2	0.0500	0.0965	0	1	0.398	95	0	0
144	1	73	0	1	1	0.0500	0.0965	0	1	0.356	10	82	82
144	1	74	1	1	3	0.0500	0.0965	1	1	0.480	87	0	82
144	1	75	1	2	3	0.0500	0.0965	1	1	0.554	80	82	0
144	1	76	1	2	3	0.0500	0.0965	1	0	0.432	0	82	0
144	1	77	9	1	3	0.0500	0.0965	0	1	0.463	0	82	82
144	1	78	0	2	3	0.0500	0.0965	0	1	0.422	9	82	82
144	1	79	0	1	3	0.0500	0.0965	1	0	0.382	0	82	0
144	1	80	0	1	3	0.0500	0.0965	0	1	0.365	10	82	82
144	1	81	1	1	1	0.0500	0.0965	1	0	0.458	0	0	82
144	1	82	1	1	1	0.0500	0.0965	0	0	0.910	0	0	0
144	1	83	0	2	2	0.0500	0.0965	0	1	0.568	8	82	82
